1000
41782
   0 1028  733  529  295  480  229  158  188   93 
 444   64  122   57   42  222   57   33   61   22 
 267   17   25   20   21  114   16   17   12    8 
 142    8   13   16    3   56    8    5    7    3 
  71    6    4    3    2   26    0    3    4    1 
 155    0    4    1    0   14    2    1    2    3 
  41    1    1    2    2    7    0    0    4    3 
  22    0    1    3    1    7    0    0    2    1 
  31    1    0    1    0    4    0    1    0    0 
   9    0    0    0    1    6    1    0    0    0 
 104    0    0    2    2    1    2    0    0    0 
  11    0    0    1    2    1    0    0    2    0 
  15    0    0    0    0    7    0    0    0    0 
   3    0    0    1    1    2    0    0    0    0 
   6    0    0    0    0    4    0    0    0    0 
  40    1    0    0    0    3    0    0    2    1 
   1    0    0    0    1    1    0    0    0    0 
   6    0    0    0    0    2    0    4    0    0 
   6    0    0    0    0    0    0    0    0    0 
   0    1    0    0    0    0    0    1    1    0 
  49    0    0    0    0    0    0    1    0    0 
   3    0    0    0    0    1    0    0    0    2 
   3    0    0    0    0    0    0    0    0    0 
   6    0    3    0    0    0    0    0    0    0 
   4    0    0    0    0    0    0    0    0    0 
  15    0    0    0    3    0    0    0    0    0 
   4    0    0    0    0    3    0    0    0    0 
   0    0    0    0    0    0    0    0    1    0 
   3    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
  20    0    0    0    0    0    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   5    0    0    1    0    1    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   4    0    0    0    0    4    0    0    0    2 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    1 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    2    2    0    0    0 
  15    0    2    1    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   3    0    0    0    0    0    0    1    0    0 
   0    0    0    0    0    0    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   4    0    0    0    0    0    0    0    0    0 
  16    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    2    0    0    0    0 
   1    0    1    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   4    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    2    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    1    0    0 
  12    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    1    0    0    0 
   4    0    0    0    0    0    0    0    0    0 
   3    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    1    0    0    0    0 
   0    0    0    0    0    1    0    0    0    0 
   0    0    0    0    1    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    2    0    0    0    0 
   5    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    2    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   6    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    1    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
  11    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    2    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0   53 


   0   11   51  127  119  488  191  252  191  124 
   0  127  289  129  143  629  157  123  165   82 
   0   89  119   81  121  375   67   93   75   48 
